Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-461,461,Male,Research Director,Divorced,Yes,Y,3,38,1,343,15,Associates Degree,1,3,92,2,3,4,11510,15682,0,14,3,2,80,1,12,3,11,10,2,9
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-462,462,Female,Manufacturing Director,Single,Yes,Y,2,31,1,1232,7,Master's Degree,1,3,39,3,3,4,7143,25713,1,14,3,3,80,0,11,2,11,9,4,10
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-463,463,Female,Sales Executive,Divorced,Yes,Y,2,29,1,144,10,High School,1,4,39,2,2,2,8268,11866,1,14,3,1,80,2,7,3,7,7,1,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,STAFF-464,464,Male,Manufacturing Director,Single,No,Y,5,35,1,1296,5,Master's Degree,1,3,62,3,3,2,8095,18264,0,13,3,4,80,0,17,3,16,6,0,13
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-465,465,Male,Research Scientist,Divorced,No,Y,2,23,1,1309,26,High School,1,3,83,3,1,4,2904,16092,1,12,3,3,80,2,4,2,4,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-466,466,Male,Manufacturing Director,Single,Yes,Y,3,41,1,483,6,Bachelor's Degree,1,4,95,2,2,2,6032,10110,6,15,3,4,80,0,8,3,5,4,1,2
No,Travel_Frequently,45 - 54,Current Employees,Sales,Medical,STAFF-467,467,Male,Sales Representative,Single,No,Y,3,47,1,1309,4,High School,1,2,99,3,2,3,2976,25751,3,19,3,1,80,0,5,3,0,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-468,468,Female,Research Director,Single,No,Y,2,42,1,810,23,Doctoral Degree,1,1,44,3,4,4,15992,15901,2,14,3,2,80,0,16,3,1,0,0,0
No,Non-Travel,25 - 34,Current Employees,Sales,Life Sciences,STAFF-469,469,Male,Sales Executive,Married,No,Y,3,29,1,746,2,Bachelor's Degree,1,4,61,3,2,3,4649,16928,1,14,3,1,80,1,4,2,4,3,0,2
No,Travel_Rarely,35 - 44,Current Employees,HR,Technical Degree,STAFF-470,470,Male,Human Resources,Divorced,Yes,Y,5,42,1,544,2,High School,1,3,52,3,1,3,2696,24017,0,11,3,3,80,1,4,3,3,2,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-471,471,Female,Laboratory Technician,Married,No,Y,4,32,1,1062,2,Bachelor's Degree,1,3,75,3,1,2,2370,3956,1,13,3,3,80,1,8,3,8,0,0,7
No,Travel_Rarely,45 - 54,Current Employees,Sales,Medical,STAFF-473,473,Female,Manager,Married,No,Y,3,48,1,530,29,High School,1,1,91,3,3,3,12504,23978,3,21,4,2,80,1,15,1,0,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-474,474,Male,Research Scientist,Divorced,Yes,Y,2,37,1,1319,6,Bachelor's Degree,1,3,51,4,2,1,5974,17001,4,13,3,1,80,2,13,3,7,7,6,7
No,Non-Travel,25 - 34,Current Employees,Sales,Technical Degree,STAFF-475,475,Female,Sales Executive,Married,Yes,Y,2,30,1,641,25,Associates Degree,1,4,85,3,2,3,4736,6069,7,12,3,2,80,1,4,4,2,2,2,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-476,476,Male,Sales Executive,Married,No,Y,3,26,1,933,1,Bachelor's Degree,1,3,57,3,2,3,5296,20156,1,17,3,2,80,1,8,3,8,7,7,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-477,477,Male,Healthcare Representative,Single,No,Y,6,42,1,1332,2,Master's Degree,1,1,98,2,2,4,6781,17078,3,23,4,2,80,0,14,3,1,0,0,0
Yes,Travel_Frequently,Under 25,Ex-Employees,Sales,Technical Degree,STAFF-478,478,Female,Sales Representative,Single,Yes,Y,3,21,0,756,1,High School,1,1,99,2,1,2,2174,9150,1,11,3,3,80,0,3,3,3,2,1,2
No,Non-Travel,35 - 44,Current Employees,Sales,Medical,STAFF-479,479,Female,Sales Executive,Single,No,Y,6,36,1,845,1,Doctoral Degree,1,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,Sales,Medical,STAFF-481,481,Male,Sales Executive,Married,No,Y,2,36,1,541,3,Master's Degree,1,1,48,2,3,4,9699,7246,4,11,3,1,80,1,16,3,13,9,1,12
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-482,482,Male,Healthcare Representative,Married,No,Y,2,57,1,593,1,Master's Degree,1,4,88,3,2,3,6755,2967,2,11,3,3,80,0,15,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-483,483,Female,Laboratory Technician,Married,Yes,Y,3,40,1,1171,10,Master's Degree,1,4,46,4,1,3,2213,22495,3,13,3,3,80,1,10,3,7,7,1,7
No,Non-Travel,Under 25,Current Employees,Sales,Medical,STAFF-484,484,Male,Sales Representative,Single,No,Y,3,21,1,895,9,Associates Degree,1,1,39,3,1,4,2610,2851,1,24,4,3,80,0,3,2,3,2,2,2
Yes,Travel_Rarely,25 - 34,Ex-Employees,Sales,Marketing,STAFF-485,485,Female,Sales Representative,Single,Yes,Y,2,33,0,350,5,Bachelor's Degree,1,4,34,3,1,3,2851,9150,1,13,3,2,80,0,1,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-486,486,Female,Laboratory Technician,Married,No,Y,3,37,1,921,10,Bachelor's Degree,1,3,98,3,1,1,3452,17663,6,20,4,2,80,1,17,3,5,4,0,3
No,Non-Travel,45 - 54,Current Employees,R&D,Medical,STAFF-487,487,Female,Manufacturing Director,Married,No,Y,2,46,1,1144,7,Master's Degree,1,3,30,3,2,3,5258,16044,2,14,3,3,80,0,7,4,1,0,0,0
Yes,Travel_Frequently,35 - 44,Ex-Employees,Sales,Marketing,STAFF-488,488,Male,Sales Executive,Single,No,Y,5,41,0,143,4,Bachelor's Degree,1,1,56,3,2,2,9355,9558,1,18,3,3,80,0,8,3,8,7,7,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-491,491,Male,Healthcare Representative,Single,No,Y,2,50,1,1046,10,Bachelor's Degree,1,4,100,2,3,4,10496,2755,6,15,3,4,80,0,20,3,4,3,1,3
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Marketing,STAFF-492,492,Male,Sales Executive,Married,Yes,Y,6,40,0,575,22,Associates Degree,1,3,68,2,2,3,6380,6110,2,12,3,1,80,2,8,3,6,4,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-493,493,Male,Research Scientist,Single,Yes,Y,5,31,1,408,9,Master's Degree,1,3,42,2,1,2,2657,7551,0,16,3,4,80,0,3,3,2,2,2,2
Yes,Travel_Rarely,Under 25,Ex-Employees,Sales,Life Sciences,STAFF-494,494,Female,Sales Representative,Single,No,Y,0,21,0,156,12,Bachelor's Degree,1,3,90,4,1,2,2716,25422,1,15,3,4,80,0,1,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-495,495,Male,Research Scientist,Single,No,Y,4,29,1,1283,23,Bachelor's Degree,1,4,54,3,1,4,2201,18168,9,16,3,4,80,0,6,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-496,496,Male,Healthcare Representative,Single,No,Y,5,35,1,755,9,Master's Degree,1,3,97,2,2,2,6540,19394,9,19,3,3,80,0,10,3,1,1,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-497,497,Male,Laboratory Technician,Divorced,No,Y,2,27,1,1469,1,Associates Degree,1,4,82,3,1,2,3816,17881,1,11,3,2,80,1,5,3,5,2,0,4
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-498,498,Male,Sales Executive,Single,No,Y,1,28,1,304,9,Master's Degree,1,2,92,3,2,4,5253,20750,1,16,3,4,80,0,7,3,7,5,0,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-499,499,Male,Healthcare Representative,Single,No,Y,2,49,1,1261,7,Bachelor's Degree,1,2,31,2,3,3,10965,12066,8,24,4,3,80,0,26,3,5,2,0,0
No,Travel_Rarely,45 - 54,Current Employees,Sales,Life Sciences,STAFF-500,500,Female,Sales Executive,Married,No,Y,2,51,1,1178,14,Associates Degree,1,3,87,3,2,4,4936,14862,4,11,3,3,80,1,18,2,7,7,0,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-501,501,Female,Research Scientist,Married,No,Y,3,36,1,329,2,Bachelor's Degree,1,4,96,3,1,3,2543,11868,4,13,3,2,80,1,6,3,2,2,2,2
Yes,Non-Travel,25 - 34,Ex-Employees,Sales,Marketing,STAFF-502,502,Male,Sales Executive,Single,Yes,Y,3,34,0,1362,19,Bachelor's Degree,1,1,67,4,2,4,5304,4652,8,13,3,2,80,0,9,2,5,2,0,4
No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,STAFF-505,505,Female,Manager,Single,Yes,Y,2,55,1,1311,2,Bachelor's Degree,1,3,97,3,4,4,16659,23258,2,13,3,3,80,0,30,3,5,4,1,2
No,Travel_Rarely,Under 25,Current Employees,Sales,Marketing,STAFF-507,507,Female,Sales Executive,Divorced,Yes,Y,2,24,1,1371,10,Master's Degree,1,4,77,3,2,3,4260,5915,1,12,3,4,80,1,5,4,5,2,0,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-508,508,Male,Sales Representative,Married,No,Y,3,30,1,202,2,High School,1,3,72,3,1,2,2476,17434,1,18,3,1,80,1,1,3,1,0,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-510,510,Male,Research Scientist,Single,No,Y,2,26,0,575,3,High School,1,3,73,3,1,1,3102,6582,0,22,4,3,80,0,7,3,6,4,0,4
No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,STAFF-511,511,Female,Research Scientist,Married,No,Y,1,22,1,253,11,Bachelor's Degree,1,1,43,3,1,2,2244,24440,1,13,3,4,80,1,2,3,2,1,1,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,STAFF-513,513,Male,Sales Executive,Married,No,Y,2,36,1,164,2,Associates Degree,1,2,61,2,3,3,7596,3809,1,13,3,2,80,2,10,3,10,9,9,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-514,514,Male,Research Scientist,Single,Yes,Y,4,30,0,464,4,Bachelor's Degree,1,3,40,3,1,4,2285,3427,9,23,4,3,80,0,3,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-515,515,Female,Laboratory Technician,Divorced,No,Y,2,37,1,1107,14,Bachelor's Degree,1,4,95,3,1,1,3034,26914,1,12,3,3,80,1,18,2,18,7,12,17
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-516,516,Female,Sales Executive,Divorced,No,Y,5,40,1,759,2,Associates Degree,1,4,46,3,2,2,5715,22553,7,12,3,3,80,2,8,3,5,4,1,3
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-517,517,Female,Laboratory Technician,Divorced,No,Y,5,42,1,201,1,Master's Degree,1,2,95,3,1,1,2576,20490,3,16,3,2,80,1,8,3,5,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-518,518,Male,Manufacturing Director,Single,Yes,Y,2,37,1,1305,10,Master's Degree,1,3,49,3,2,2,4197,21123,2,12,3,4,80,0,18,2,1,0,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-520,520,Male,Research Director,Divorced,No,Y,3,43,1,982,12,Bachelor's Degree,1,1,59,2,4,2,14336,4345,1,11,3,3,80,1,25,3,25,10,3,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-521,521,Female,Laboratory Technician,Married,No,Y,3,40,1,555,2,Bachelor's Degree,1,2,78,2,2,3,3448,13436,6,22,4,2,80,1,20,3,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-522,522,Male,Research Director,Married,No,Y,4,54,1,821,5,Associates Degree,1,1,86,3,5,1,19406,8509,4,11,3,3,80,1,24,2,4,2,1,2
No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,STAFF-523,523,Female,Sales Executive,Married,No,Y,3,34,1,1381,4,Master's Degree,1,3,72,3,2,3,6538,12740,9,15,3,1,80,1,6,3,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-524,524,Female,Manufacturing Director,Married,No,Y,5,31,1,480,7,Associates Degree,1,2,31,3,2,1,4306,4156,1,12,3,2,80,1,13,1,13,10,3,12
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-525,525,Male,Laboratory Technician,Married,No,Y,1,43,1,313,21,Bachelor's Degree,1,4,61,3,1,4,2258,15238,7,20,4,1,80,1,8,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-526,526,Female,Healthcare Representative,Divorced,Yes,Y,3,43,1,1473,8,Master's Degree,1,3,74,3,2,3,4522,2227,4,14,3,4,80,0,8,3,5,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-527,527,Female,Sales Executive,Single,Yes,Y,3,25,1,891,4,Associates Degree,1,2,99,2,2,4,4487,12090,1,11,3,2,80,0,5,3,5,4,1,3
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-529,529,Female,Research Scientist,Married,Yes,Y,2,37,1,1063,25,Doctoral Degree,1,2,72,3,2,3,4449,23866,3,15,3,1,80,2,15,3,13,11,10,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-530,530,Male,Laboratory Technician,Married,No,Y,3,31,1,329,1,Associates Degree,1,4,98,2,1,1,2218,16193,1,12,3,3,80,1,4,3,4,2,3,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-531,531,Male,Manager,Divorced,Yes,Y,3,39,1,1218,1,High School,1,2,52,3,5,3,19197,8213,1,14,3,3,80,1,21,3,21,8,1,6
No,Travel_Frequently,Over 55,Current Employees,Sales,Life Sciences,STAFF-532,532,Female,Sales Executive,Married,No,Y,0,56,1,906,6,Bachelor's Degree,1,3,86,4,4,1,13212,18256,9,11,3,4,80,3,36,2,7,7,7,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-533,533,Female,Sales Executive,Single,No,Y,6,30,1,1082,12,Bachelor's Degree,1,2,83,3,2,3,6577,19558,0,11,3,2,80,0,6,3,5,4,4,4
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-534,534,Male,Sales Executive,Married,No,Y,2,41,1,645,1,Bachelor's Degree,1,2,49,4,3,1,8392,19566,1,16,3,3,80,1,10,3,10,7,0,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-536,536,Male,Laboratory Technician,Divorced,No,Y,2,28,1,1300,17,Associates Degree,1,3,79,3,2,1,4558,13535,1,12,3,4,80,1,10,3,10,0,1,8
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-538,538,Male,Laboratory Technician,Married,No,Y,5,25,0,688,3,Bachelor's Degree,1,1,91,3,1,1,4031,9396,5,13,3,3,80,1,6,3,2,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-543,543,Male,Manufacturing Director,Married,Yes,Y,4,52,1,319,3,Bachelor's Degree,1,4,39,2,3,3,7969,19609,2,14,3,3,80,0,28,3,5,4,0,4
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-544,544,Male,Research Scientist,Married,No,Y,3,45,1,192,10,Associates Degree,1,1,69,3,1,4,2654,9655,3,21,4,4,80,2,8,2,2,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-546,546,Female,Manager,Married,No,Y,2,52,1,1490,4,Associates Degree,1,4,30,3,4,4,16555,10310,2,13,3,4,80,0,31,1,5,2,1,4
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-547,547,Female,Research Scientist,Divorced,No,Y,3,42,1,532,29,Associates Degree,1,1,92,3,2,3,4556,12932,2,11,3,2,80,1,19,3,5,4,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-548,548,Female,Manufacturing Director,Single,No,Y,2,30,1,317,2,Bachelor's Degree,1,3,43,1,2,4,6091,24793,2,20,4,3,80,0,11,3,5,4,0,2
No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,STAFF-549,549,Female,Manager,Married,No,Y,5,60,1,422,7,Bachelor's Degree,1,1,41,3,5,1,19566,3854,5,11,3,4,80,0,33,1,29,8,11,10
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-550,550,Female,Manufacturing Director,Divorced,No,Y,5,46,1,1485,18,Bachelor's Degree,1,3,87,3,2,3,4810,26314,2,14,3,3,80,1,19,2,10,7,0,8
No,Travel_Frequently,35 - 44,Current Employees,R&D,Technical Degree,STAFF-551,551,Female,Healthcare Representative,Married,No,Y,4,42,1,1368,28,Master's Degree,1,4,88,2,2,4,4523,4386,0,11,3,4,80,3,7,4,6,5,0,4
Yes,Travel_Rarely,Under 25,Ex-Employees,Sales,Technical Degree,STAFF-554,554,Female,Sales Representative,Single,Yes,Y,4,24,0,1448,1,High School,1,1,62,3,1,2,3202,21972,1,16,3,2,80,0,6,3,5,3,1,4
Yes,Travel_Frequently,25 - 34,Ex-Employees,Sales,Marketing,STAFF-555,555,Female,Sales Representative,Divorced,No,Y,3,34,0,296,6,Associates Degree,1,4,33,1,1,3,2351,12253,0,16,3,4,80,1,3,2,2,2,1,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-556,556,Male,Laboratory Technician,Married,Yes,Y,3,38,1,1490,2,Associates Degree,1,4,42,3,1,4,1702,12106,1,23,4,3,80,1,1,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,STAFF-558,558,Female,Manager,Married,No,Y,2,40,1,1398,2,Master's Degree,1,3,79,3,5,3,18041,13022,0,14,3,4,80,0,21,3,20,15,1,12
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-560,560,Female,Research Scientist,Divorced,No,Y,3,26,1,1349,23,Bachelor's Degree,1,1,90,3,1,4,2886,3032,1,22,4,2,80,2,3,1,3,2,0,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-562,562,Male,Laboratory Technician,Married,No,Y,3,30,1,1400,3,Bachelor's Degree,1,3,53,3,1,4,2097,16734,4,15,3,3,80,1,9,1,5,3,1,4
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-564,564,Male,Research Director,Married,No,Y,2,29,1,986,3,Master's Degree,1,2,93,2,3,3,11935,21526,1,18,3,3,80,0,10,3,10,2,0,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-565,565,Female,Research Scientist,Married,No,Y,2,29,0,408,25,Doctoral Degree,1,3,71,2,1,2,2546,18300,5,16,3,2,80,0,6,4,2,2,1,1
Yes,Travel_Rarely,Under 25,Ex-Employees,HR,Technical Degree,STAFF-566,566,Male,Human Resources,Single,No,Y,3,19,0,489,2,Associates Degree,1,1,52,2,1,4,2564,18437,1,12,3,3,80,0,1,4,1,0,0,0
No,Non-Travel,25 - 34,Current Employees,Sales,Other,STAFF-567,567,Female,Sales Executive,Married,No,Y,3,30,1,1398,22,Master's Degree,1,3,69,3,3,1,8412,2890,0,11,3,3,80,0,10,3,9,8,7,8
No,Travel_Rarely,Over 55,Current Employees,Sales,Marketing,STAFF-568,568,Male,Manager,Divorced,No,Y,3,57,1,210,29,Bachelor's Degree,1,1,56,2,4,4,14118,22102,3,12,3,3,80,1,32,2,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-569,569,Male,Manager,Married,No,Y,2,50,1,1099,29,Master's Degree,1,2,88,2,4,3,17046,9314,0,15,3,2,80,1,28,3,27,10,15,7
No,Non-Travel,25 - 34,Current Employees,R&D,Medical,STAFF-571,571,Female,Laboratory Technician,Single,No,Y,2,30,1,1116,2,Bachelor's Degree,1,3,49,3,1,4,2564,7181,0,14,3,3,80,0,12,2,11,7,6,7
No,Travel_Frequently,Over 55,Current Employees,Sales,Marketing,STAFF-573,573,Female,Sales Executive,Married,No,Y,5,60,1,1499,28,Bachelor's Degree,1,3,80,2,3,1,10266,2845,4,19,3,4,80,0,22,4,18,13,13,11
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-574,574,Female,Manufacturing Director,Divorced,No,Y,2,47,1,983,2,Associates Degree,1,1,65,3,2,4,5070,7389,5,13,3,3,80,3,20,3,5,0,0,4
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-575,575,Male,Research Director,Married,No,Y,2,46,1,1009,2,Bachelor's Degree,1,1,51,3,4,3,17861,2288,6,13,3,3,80,0,26,1,3,2,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-577,577,Male,Laboratory Technician,Single,No,Y,2,35,1,144,22,Bachelor's Degree,1,4,46,1,1,3,4230,19225,0,15,3,3,80,0,6,3,5,4,4,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-578,578,Female,Laboratory Technician,Single,No,Y,3,54,1,548,8,Master's Degree,1,3,42,3,2,3,3780,23428,7,11,3,3,80,0,19,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-579,579,Male,Research Scientist,Divorced,No,Y,3,34,1,1303,2,Master's Degree,1,4,62,2,1,3,2768,8416,3,12,3,3,80,1,14,3,7,3,5,7
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-580,580,Female,Sales Executive,Married,Yes,Y,3,46,1,1125,10,Bachelor's Degree,1,3,94,2,3,4,9071,11563,2,19,3,3,80,1,15,3,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-581,581,Male,Manufacturing Director,Divorced,No,Y,6,31,1,1274,9,High School,1,3,33,3,3,2,10648,14394,1,25,4,4,80,1,13,4,13,8,0,8
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-582,582,Male,Manager,Married,Yes,Y,2,33,0,1277,15,High School,1,2,56,3,3,3,13610,24619,7,12,3,4,80,0,15,4,7,6,7,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-584,584,Male,Laboratory Technician,Divorced,No,Y,2,33,0,587,10,High School,1,1,38,1,1,4,3408,6705,7,13,3,1,80,3,8,3,4,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-585,585,Male,Sales Representative,Single,No,Y,3,30,1,413,7,High School,1,4,57,3,1,2,2983,18398,0,14,3,1,80,0,4,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-586,586,Male,Healthcare Representative,Married,Yes,Y,2,35,1,1276,16,Bachelor's Degree,1,4,72,3,3,3,7632,14295,4,12,3,3,80,0,10,3,8,7,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-587,587,Male,Healthcare Representative,Married,No,Y,2,31,0,534,20,Bachelor's Degree,1,1,66,3,3,3,9824,22908,3,12,3,1,80,0,12,3,1,0,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-590,590,Female,Human Resources,Divorced,Yes,Y,2,34,0,988,23,Bachelor's Degree,1,2,43,3,3,1,9950,11533,9,15,3,3,80,3,11,3,3,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Other,STAFF-591,591,Male,Laboratory Technician,Married,No,Y,4,42,1,1474,5,Associates Degree,1,2,97,3,1,3,2093,9260,4,17,3,4,80,1,8,3,2,2,2,0
No,Non-Travel,35 - 44,Current Employees,Sales,Medical,STAFF-592,592,Male,Sales Executive,Single,No,Y,3,36,1,635,10,Master's Degree,1,2,32,3,3,4,9980,15318,1,14,3,4,80,0,10,2,10,3,9,7
Yes,Travel_Frequently,Under 25,Ex-Employees,R&D,Technical Degree,STAFF-593,593,Male,Laboratory Technician,Single,No,Y,3,22,0,1368,4,High School,1,3,99,2,1,3,3894,9129,5,16,3,3,80,0,4,3,2,2,1,2
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-595,595,Female,Sales Executive,Married,No,Y,2,48,1,163,2,Doctoral Degree,1,2,37,3,2,4,4051,19658,2,14,3,1,80,1,14,3,9,7,6,7
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,STAFF-597,597,Female,Manager,Single,No,Y,2,55,1,1117,18,Doctoral Degree,1,1,83,3,4,2,16835,9873,3,23,4,4,80,0,37,3,10,9,7,7
No,Non-Travel,35 - 44,Current Employees,Sales,Life Sciences,STAFF-599,599,Male,Sales Executive,Single,No,Y,3,41,1,267,10,Associates Degree,1,4,56,3,2,4,6230,13430,7,14,3,4,80,0,16,3,14,3,1,10
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-600,600,Male,Sales Executive,Married,No,Y,2,35,1,619,1,Bachelor's Degree,1,2,85,3,2,3,4717,18659,9,11,3,3,80,0,15,3,11,9,6,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-601,601,Female,Manufacturing Director,Single,No,Y,3,40,1,302,6,Bachelor's Degree,1,2,75,3,4,3,13237,20364,7,15,3,3,80,0,22,3,20,6,5,13
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-602,602,Female,Laboratory Technician,Married,No,Y,3,39,1,443,8,High School,1,3,48,3,1,3,3755,17872,1,11,3,1,80,1,8,3,8,3,0,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-604,604,Male,Sales Executive,Single,Yes,Y,2,31,1,828,2,High School,1,2,77,3,2,4,6582,8346,4,13,3,3,80,0,10,4,6,5,0,5
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-605,605,Male,Manufacturing Director,Married,Yes,Y,5,42,1,319,24,Bachelor's Degree,1,4,56,3,3,1,7406,6950,1,21,4,4,80,1,10,2,10,9,5,8
No,Travel_Rarely,45 - 54,Current Employees,Sales,Other,STAFF-606,606,Male,Sales Executive,Married,No,Y,3,45,1,561,2,Bachelor's Degree,1,4,61,3,2,2,4805,16177,0,19,3,2,80,1,9,4,8,7,3,7
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Life Sciences,STAFF-608,608,Female,Human Resources,Divorced,Yes,Y,2,26,0,426,17,Master's Degree,1,2,58,3,1,3,2741,22808,0,11,3,2,80,1,8,2,7,7,1,0
